rank,wallet,age,perp_equity,open_value,leverage,current_bias,pnl_24h,pnl_7d,pnl_30d,pnl_all,source_file
1,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,262d,$73.5M,$239M,3.25x,Very BearishBias Score: -3.24,+$8.06M,+$41.8M,+$76M,+$141M,1.html
2,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,661d,$61.6M,$184M,2.98x,Very BearishBias Score: -2.86,+$4.09M,+$14M,+$14.6M,+$127M,1.html
3,0xb83de012dba672c76a7dbbbf3e459cb59d7d6e36,262d,$21.6M,$38.9M,1.8x,Very BearishBias Score: -1.42,+$970K,+$8.48M,+$32.6M,+$110M,1.html
6,0x7fdafde5cfb5465924316eced2d3715494c517d1,410d,$52.3M,$161M,3.07x,Very BearishBias Score: -2.91,+$3.41M,+$16.9M,+$28.1M,+$94.2M,1.html
7,0x20c2d95a3dfdca9e9ad12794d5fa6fad99da44f5,417d,$2.47M,$4.99M,2.02x,Very BearishBias Score: -2.02,+$149K,+$871K,+$1.89M,+$74.7M,1.html
8,0x880ac484a1743862989a441d6d867238c7aa311c,388d,$21.8M,$108M,4.96x,Very BearishBias Score: -4.96,+$2.52M,+$10.4M,+$14.9M,+$72.4M,1.html
9,0xa312114b5795dff9b8db50474dd57701aa78ad1e,367d,$9.06M,$36M,3.98x,Very BearishBias Score: -3.85,-$18.1K,+$248K,-$115K,+$71.1M,1.html
11,0x8af700ba841f30e0a3fcb0ee4c4a9d223e1efa05,626d,$10.3M,$57.1M,5.53x,Very BullishBias Score: 2.92,-$538K,-$3.3M,-$4.87M,+$60.1M,1.html
12,0x45d26f28196d226497130c4bac709d808fed4029,682d,$40.5M,$83.5M,2.06x,Very BearishBias Score: -2.06,+$2.6M,+$10.4M,+$17.7M,+$56.4M,1.html
13,0x5d2f4460ac3514ada79f5d9838916e508ab39bb7,325d,$16.1M,$116M,7.18x,Very BearishBias Score: -7.18,+$2M,+$12.8M,+$18.4M,+$47.7M,1.html
14,0x023a3d058020fb76cca98f01b3c48c8938a22355,536d,$27.5M,$102M,3.73x,BearishBias Score: -0.74,+$666K,+$4.33M,+$1.78M,+$47.5M,1.html
15,0x9eec98d048d06d9cd75318fffa3f3960e081daab,185d,$48.2M,$258M,5.36x,Very BullishBias Score: 5.36,-$7.89M,-$18.6M,+$906K,+$41.4M,1.html
16,0x8e096995c3e4a3f0bc5b3ea1cba94de2aa4d70c9,339d,$20.5M,$54.3M,2.65x,Very BearishBias Score: -2.63,+$735K,+$4.99M,+$8.52M,+$40.5M,1.html
17,0x56498e5f90c14060499b62b6f459b3e3fb9280c5,332d,$1.22K,$0,0x,No Position -Bias Score: 0,$0,-$35.5K,-$103K,+$38.6M,1.html
19,0xcac19662ec88d23fa1c81ac0e8570b0cf2ff26b3,186d,$35M,$37M,1.06x,Very BearishBias Score: -1.06,+$1.03M,+$4.69M,+$6.14M,+$31.1M,1.html
20,0xbadbb1de95b5f333623ebece7026932fa5039ee6,59d,$20.2M,$30.1M,1.49x,Very BullishBias Score: 1.49,-$2.14M,-$5.73M,+$2.35M,+$30.3M,1.html
21,0x939f95036d2e7b6d7419ec072bf9d967352204d2,122d,$9.45M,$42.8M,4.53x,Very BearishBias Score: -4.53,+$733K,+$4.54M,+$8.77M,+$29.6M,1.html
23,0xa87a233e8a7d8951ff790a2e39738086cb5f71b7,661d,$20.4M,$24M,1.18x,Very BearishBias Score: -1.18,+$645K,+$3.3M,+$4.56M,+$23.2M,1.html
24,0x856c35038594767646266bc7fd68dc26480e910d,339d,$33.1M,$85.4M,2.58x,Very BearishBias Score: -2.53,+$1.13M,+$6.9M,+$5.84M,+$22.8M,1.html
25,0x35d1151ef1aab579cbb3109e69fa82f94ff5acb1,115d,$14M,$50.1M,3.58x,Very BearishBias Score: -3.58,+$1.8M,+$8.98M,+$13.2M,+$21.5M,1.html
